[2017-06-07 09:37:47] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 09:38:14] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/index/index/key/74f113e0e59553fe988f54c374c05f1d970d834089ace52f2a7aa017f4eddd07/","invalidateInfo":{"tags":["BACKEND_MAINMENU"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-06-07 09:45:59] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/customer/account/loginPost/","invalidateInfo":{"tags":["wishlist_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 09:45:59] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/customer/account/loginPost/","invalidateInfo":{"tags":["wishlist_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 09:58:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/wishlist/index/add/","invalidateInfo":{"tags":["wishlist_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 09:58:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/wishlist/index/add/","invalidateInfo":{"tags":["wishlist_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 09:59:01] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/wishlist/index/add/","invalidateInfo":{"tags":["wishlist_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 09:59:01] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/wishlist/index/add/","invalidateInfo":{"tags":["wishlist_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 09:59:31] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/wishlist/index/updateItemOptions/","invalidateInfo":{"tags":["wishlist_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 09:59:31] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/wishlist/index/updateItemOptions/","invalidateInfo":{"tags":["wishlist_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 10:00:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/wishlist/index/remove/","invalidateInfo":{"tags":["wishlist_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 10:00:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/wishlist/index/remove/","invalidateInfo":{"tags":["wishlist_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 10:00:32] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/wishlist/index/remove/","invalidateInfo":{"tags":["wishlist_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 10:00:32] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/wishlist/index/remove/","invalidateInfo":{"tags":["wishlist_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 10:00:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/wishlist/index/add/","invalidateInfo":{"tags":["wishlist_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 10:00:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/wishlist/index/add/","invalidateInfo":{"tags":["wishlist_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 10:00:59] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/wishlist/index/updateItemOptions/","invalidateInfo":{"tags":["wishlist_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
